Task Name,Dataset Count,Common Datasets (Top 10),Benchmarks,SOTA Metrics,Subtasks,Categories,Description (First 200 chars)
Speech Separation,16,LRS2; LibriCSS; GRID Dataset; iKala; TIMIT; mDRT; MIR-1K; VoxCeleb2; WHAMR!; WHAM!,TCD-TIMIT corpus (mixed-speech); Libri20Mix; Libri10Mix; WSJ0-2mix; Libri5Mix; WSJ0-5mix; GRID corpus (mixed-speech); iKala; Libri15Mix; VoxCeleb2,30%; 10%; SI-SDRi; Number of parameters (M); MACs (G); SI-SNRi; 40%; STOI; 20%; NSDR,Speech Extraction,Speech,"The task of extracting all overlapping speech sources in a given mixed speech signal refers to the **Speech Separation**. Speech Separation is a special scenario of source separation problem, where th..."
Audio Source Separation,15,MUSDB18; FUSS; SMS-WSJ; Kinect-WSJ; DNS Challenge; jaCappella; MedleyVox; WHAMR!; OpenMIC-2018; WHAM!,MUSIC (multi-source); AudioSet,SAR; SDR; SIR,Directional Hearing; Target Sound Extraction; Single-Label Target Sound Extraction,Audio,"**Audio Source Separation** is the process of separating a mixture (e.g. a pop band recording) into isolated sounds from individual sources (e.g. just the lead vocals).      <span class=""description-s..."
Music Transcription,14,CocoChorales; Guitar-TECHS; JS Fake Chorales; ErhuPT; URMP; Music21; MusicNet; MAPS; YourMT3 Dataset; Cadenza Woodwind,URMP; MAPS; MusicNet; Slakh2100; SMD Piano; MAESTRO,Onset F1; APS; Number of params; note-level F-measure-no-offset (Fno),Multi-instrument Music Transcription,Music,"Music transcription is the task of converting an acoustic musical signal into some form of music notation.    <span style=""color:grey; opacity: 0.6"">( Image credit: [ISMIR 2015 Tutorial - Automatic Mu..."
Speaker Verification,12,VibraVox (throat microphone); CN-CELEB; CALLHOME American English Speech; VibraVox (temple vibration pickup); EVI; VibraVox (rigid in-ear microphone); VoxCeleb2; VibraVox (headset microphone); VibraVox (soft in-ear microphone); VibraVox (forehead accelerometer),VibraVox (throat microphone); CALLHOME; VibraVox (temple vibration pickup); VoxCeleb1; VoxCeleb2; VibraVox (headset microphone); VoxCeleb; VibraVox (soft in-ear microphone); VibraVox (forehead accelerometer); VibraVox (rigid in-ear microphone),Test EER; minDCF; Cosine EER; EER; Test min-DCF,Text-Independent Speaker Verification; Audio Deepfake Detection; Text-Dependent Speaker Verification,Speech,"Speaker verification is the verifying the identity of a person from characteristics of the voice.    <span style=""color:grey; opacity: 0.6"">( Image credit: [Contrastive-Predictive-Coding-PyTorch  ](ht..."
Speaker Diarization,11,AVA-Speech; MagicData-RAMC; FSC-P2; CALLHOME American English Speech; RadioTalk; AVA; ASR-RAMC-BIGCCSC: A CHINESE CONVERSATIONAL SPEECH CORPUS; CHiME-5; AliMeeting; AVA-ActiveSpeaker,DIHARD; DIHARD3-eval; AMI; CALLHOME; call_home_american_english_speech; AMI MixHeadset; AMI Lapel; CH109; Hub5'00 CallHome; NIST-SRE 2000,FA; MI; CF; DER(%); V; Miss; DER - no overlap; DER(ig olp),N/A,Speech,"**Speaker Diarization** is the task of segmenting and co-indexing audio recordings by speaker. The way the task is commonly defined, the goal is not to identify known speakers, but to co-index segment..."
Music Source Separation,9,MUSDB18; CocoChorales; SynthSOD; MuseScore; MIR-1K; MUSDB18-HQ; Cadenza Woodwind; Slakh2100; MedleyDB,MUSDB18; MUSDB18-HQ; Slakh2100,Si-SDRi (Guitar); SDR (avg); SDR (others); SI-SDRi (Bass); SDR (drums); Si-SDRi (Piano); SDR (vocals); SDR (other); Si-SDRi (Drums); SDR (bass),N/A,Music,"Music source separation is the task of decomposing music into its constitutive components, e. g., yielding separated stems for the vocals, bass, and drums.    <span style=""color:grey; opacity: 0.6"">( ..."
Voice Conversion,8,ESD; ArVoice; GneutralSpeech Male; GneutralSpeech Female; VESUS; LibriSpeech; VIVOS; VCTK,LibriSpeech test-clean; ZeroSpeech 2019 English; VCTK,Phone Length Error (PLE); Equal Error Rate; Total Length Error (TLE); Character Error Rate (CER); Speaker Similarity; Word Error Rate (WER); Word Length Error (WLE),N/A,Speech; Audio,I remember all the summer days  Drinking wine in the sunshine  I hope it never leaves  And I remember all the summer nights  Staring at you in the moonlight  I hope you never leave 'cause baby  You're...
Music Modeling,6,JS Fake Chorales; Lakh Pianoroll Dataset; Lakh MIDI Dataset; Music21; Nottingham; JSB Chorales,JSB Chorales; Nottingham,Parameters; NLL,N/A,Music,"<span style=""color:grey; opacity: 0.6"">( Image credit: [R-Transformer](https://arxiv.org/pdf/1907.05572v1.pdf) )</span>"
Speech Dereverberation,6,EARS-Reverb; Reverb-WSJ0; WHAMR_ext; WHAM!; WHAMR!; DNS Challenge,N/A,N/A,N/A,N/A,N/A
Multi-instrument Music Transcription,6,URMP; ENST Drums; YourMT3 Dataset; MIR-ST500; Cadenza Woodwind; Slakh2100,N/A,N/A,N/A,N/A,N/A
