Task Name,Parent Task,Level,Dataset Count,Description,Benchmarks,Metrics,Children Count
Person Re-Identification,,0,65,,eSports Sensors Dataset; DukeMTMC-reID; Market-1501->DukeMTMC-reID; P-DukeMTMC-reID; Market-1501; AG-ReID; SYSU-MM01; Market-1501-C; MSMT17; PRID2011,,0
Data Augmentation,,0,63,,CIFAR-10; ImageNet; GA1457,,0
Multi-Task Learning,,0,59,,NYUv2; CelebA; ChestX-ray14; Cityscapes test; QM9; UTKFace; OMNIGLOT; wireframe dataset,,0
Self-Supervised Learning,,0,47,,TinyImageNet; STL-10; DABS; CREMA-D; cifar100; CIFAR-100; CIFAR-10; ImageNet-100 (TEMI Split); cifar10; Tiny ImageNet,,0
Time Series Forecasting,,0,46,,ETTh2 (168) Multivariate; ETTh1 (720) Multivariate; Weather2K1786 (336); ETTh1 (48) Univariate; Weather (96); ETTh1 (336) Univariate; Solar (96); ETTh1 (336) Multivariate; Electricity (336); ETTh2 (24) Univariate,,0
Entity Linking,,0,44,,BC7 NLM-Chem; WebQSP-WD; N3-Reuters-128; OKE-2015; WiC-TSV; TAC-KBP 2010; MSNBC; CoNLL-Aida; Rare Diseases Mentions in MIMIC-III (Text-to-UMLS); FUNSD,,0
Misinformation,,0,44,,NLP4IF-2021--Fighting the COVID-19 Infodemic ,,0
Decision Making,,0,40,,./01/01/1967; NASA C-MAPSS,,0
Continual Learning,,0,35,,DSC (10 tasks); Split MNIST (5 tasks); CUB-200-2011 (20 tasks) - 1 epoch; Tiny-ImageNet (10tasks); visual domain decathlon (10 tasks); Flowers (Fine-grained 6 Tasks); AIDS; MLT17; split CIFAR-100; 5-Datasets,,0
Metric Learning,,0,33,,DyML-Animal; DyML-Vehicle; CUB-200-2011; In-Shop; Stanford Online Products; CARS196; DyML-Product;  CUB-200-2011,,0
regression,,0,31,,Synthetic: y = x * sin x; ADORE; Medical Cost Personal Dataset; California Housing Prices; Car_Price_Prediction; Concrete Compressive Strength,,0
Drug Discovery,,0,26,,SIDER; BindingDB IC50; ToxCast; DRD2; KIBA; DAVIS-DTA; BACE; PDBbind; Tox21; QED,,0
Time Series Analysis,,0,25,,PhysioNet Challenge 2012; Speech Commands; Ventilator Pressure Prediction,,0
Fairness,,0,23,,DiveFace; BAF – Variant I; BAF – Base; BAF – Variant III; MORPH; BAF – Variant V; UTKFace; BAF – Variant II; BAF – Variant IV,,0
Multimodal Deep Learning,,0,22,,CUB-200-2011,,0
Robotic Grasping,,0,22,,NBMOD; GraspNet-1Billion;  Jacquard dataset; Cornell Grasp Dataset,,0
Graph Regression,,0,21,,ZINC 10k; PGR ; PCQM4M-LSC; ZINC; F2; PARP1; ZINC-500k; ESOL; ZINC 100k; ZINC-full,,0
Imitation Learning,,0,21,,,,0
Age Estimation,,0,20,,ChaLearn 2015; AFAD; mebeblurf; AgeDB; LAGENDA; PhysioNet Challenge 2021; UTKFace; KANFace; FGNET; IMDB-Clean,,0
Reinforcement Learning (RL),,0,20,,.; ProcGen,,0
Graph Clustering,,0,19,,Citeseer; Deng et al; Cora; Treutlein et al; Pollen et al; Bozec et al; Biase et al; Goolam et al; Yan et al; Pubmed,,0
Quantization,,0,18,,IJB-C; AgeDB-30; LFW; Wiki-40B; CFP-FP; CIFAR-10; ImageNet; Knowledge-based:; COCO (Common Objects in Context); IJB-B,,0
Multivariate Time Series Forecasting,,0,18,,ETTh1 (48) Multivariate; ETTh1 (720) Multivariate; MIMIC-III; USHCN-Daily; ETTh2 (720) Multivariate; PhysioNet Challenge 2012; Weather; ETTh1 (96) Multivariate; Helpdesk; Traffic,,0
Time Series,,0,18,,,,0
Binarization,,0,17,,,,0
Topic Models,,0,17,,AG News; AgNews; 20NewsGroups; Arxiv HEP-TH citation graph; 20 Newsgroups; NYT,,0
Meta-Learning,,0,17,,"ML45; MT50; OMNIGLOT - 1-Shot, 20-way; ML10",,0
SMAC+,,0,17,,,,0
Long-tail Learning,,0,16,,CIFAR-10-LT (ρ=200); ImageNet-LT; COCO-MLT; MIMIC-CXR-LT; Places-LT; VOC-MLT; iNaturalist 2018; CIFAR-100-LT (ρ=50); Lot-insts; CIFAR-10-LT (ρ=50),,0
Prompt Engineering,,0,16,,Food-101; FGVC-Aircraft; ImageNet-R; ImageNet V2; ImageNet-A; Oxford 102 Flower; Stanford Cars; Oxford-IIIT Pet Dataset; SUN397; ImageNet,,0
Contrastive Learning,,0,16,,"imagenet-1k; STL-10; 10,000 People - Human Pose Recognition Data; CIFAR-10",,0
Learning with noisy labels,,0,16,,,,0
Self-Driving Cars,,0,16,,,,0
Weather Forecasting,,0,16,,SEVIR; NOAA Atmospheric Temperature Dataset; Shifts; LA; SD,,0
Node Clustering,,0,15,,,,0
Physical Simulations,,0,15,,Impact Plate; 4D-DRESS; Deformable Plate; Deforming Plate; Sphere Simple,,0
Within-Session ERP,,0,15,,,,0
Density Estimation,,0,13,,BSDS300; Freyfaces; UCI POWER; UCI MINIBOONE; CIFAR-10; ImageNet 64x64; CIFAR-10 (Conditional); UCI HEPMASS; OMNIGLOT; Caltech-101,,0
Clustering Algorithms Evaluation,,0,13,,pixraw10P; iris; Fashion-MNIST; JAFFE; ionosphere; Olivetti face; seeds; pathbased; MNIST; 97 synthetic datasets,,0
Adversarial Robustness,,0,13,,Stylized ImageNet; ImageNet-A; AdvGLUE; ImageNet-C; CIFAR-100; CIFAR-10; ImageNet,,0
UIE,,0,13,,,,0
Entity Disambiguation,,0,13,,Mewsli-9; MSNBC; AIDA-CoNLL; ShadowLink-Top; WNED-WIKI; ACE2004; DocRED-IE; ShadowLink-Shadow; WNED-CWEB; AQUAINT,,0
Open-Domain Dialog,,0,13,,KILT: Wizard of Wikipedia,,0
Disentanglement,,0,13,,,,0
Graph Embedding,,0,12,,Barabasi-Albert,,0
Imputation,,0,12,,Adult; HMNIST; PhysioNet Challenge 2012; Sprites,,0
Entity Typing,,0,12,,FIGER; Ontonotes v5 (English); Freebase FIGER; AIDA-CoNLL; DocRED-IE;  Open Entity; Open Entity; OntoNotes,,0
COVID-19 Diagnosis,,0,12,,COVID-19 CXR Dataset; ; COVIDx; COVIDx CXR-3; Large COVID-19 CT scan slice dataset; Novel COVID-19 Chestxray Repository; Covid-19 Cough Cambridge; COVIDGR,,0
Referring Expression Comprehension,,0,12,,,,0
Entity Resolution,,0,12,,Amazon-Google; MusicBrainz20K; Abt-Buy; WDC Products; WDC Watches-xlarge; WDC Products-80%cc-seen-medium; WDC Computers-small; WDC Products-50%cc-unseen-medium; WDC Computers-xlarge; WDC Products-80%cc-seen-medium-multi,,0
Robot Manipulation,,0,12,,SimplerEnv-Google Robot; CALVIN; RLBench; SimplerEnv-Widow X; MimicGen,,0
Multiple-choice,,0,12,,,,0
