Task Name,Dataset Count
Person Re-Identification,65
Data Augmentation,63
Multi-Task Learning,59
Self-Supervised Learning,47
Time Series Forecasting,46
Entity Linking,44
Misinformation,44
Decision Making,40
Continual Learning,35
Metric Learning,33
regression,31
Drug Discovery,26
Time Series Analysis,25
Fairness,23
Multimodal Deep Learning,22
Robotic Grasping,22
Graph Regression,21
Imitation Learning,21
Age Estimation,20
Reinforcement Learning (RL),20
Graph Clustering,19
Quantization,18
Multivariate Time Series Forecasting,18
Time Series,18
Binarization,17
Topic Models,17
Meta-Learning,17
SMAC+,17
Long-tail Learning,16
Prompt Engineering,16
Contrastive Learning,16
Learning with noisy labels,16
Self-Driving Cars,16
Weather Forecasting,16
Node Clustering,15
Physical Simulations,15
Within-Session ERP,15
Density Estimation,13
Clustering Algorithms Evaluation,13
Adversarial Robustness,13
UIE,13
Entity Disambiguation,13
Open-Domain Dialog,13
Disentanglement,13
Graph Embedding,12
Imputation,12
Entity Typing,12
COVID-19 Diagnosis,12
Referring Expression Comprehension,12
Entity Resolution,12
Robot Manipulation,12
Multiple-choice,12
Stochastic Optimization,11
Unsupervised Person Re-Identification,11
Adversarial Attack,11
Virtual Try-on,11
Federated Learning,11
Continuous Control,10
Graph Learning,10
Automatic Post-Editing,10
Person Identification,10
Benchmarking,10
Table annotation,10
Column Type Annotation,10
Time Series Regression,10
Homography Estimation,9
Reinforcement Learning,9
AutoML,9
Shadow Removal,9
Program Repair,9
Learning-To-Rank,9
Multi-agent Reinforcement Learning,9
Representation Learning,9
Code Repair,9
Multi-Label Learning,8
Lipreading,8
Incremental Learning,8
Multivariate Time Series Imputation,8
Correlated Time Series Forecasting,8
Disaster Response,8
Automated Theorem Proving,8
Starcraft,8
Heart rate estimation,8
Explainable artificial intelligence,8
AI Agent,8
GLinear,7
Argument Mining,7
Driver Attention Monitoring,7
Point Processes,7
Offline RL,7
Rain Removal,7
Unsupervised Pre-training,7
Robot Task Planning,7
Data Integration,7
Within-Session SSVEP,7
RAG,7
Personalized Federated Learning,6
Phrase Grounding,6
Lip Reading,6
Explanation Fidelity Evaluation,6
Collaborative Filtering,6
Graph Mining,6
Band Gap,6
Feature Importance,6
Graph Representation Learning,6
Univariate Time Series Forecasting,6
Bandwidth Extension,6
Atari Games,6
Starcraft II,6
Goal-Oriented Dialog,6
Probabilistic Deep Learning,6
16k,6
Open Set Learning,6
Explainable Artificial Intelligence (XAI),6
Cross-Modal Person Re-Identification,6
Protein Design,6
Math,6
Core set discovery,5
Adversarial Defense,5
Network Pruning,5
Linguistic Acceptability,5
Chunking,5
Point Cloud Completion,5
Region Proposal,5
Clustering,5
Complex Query Answering,5
Arousal Estimation,5
Valence Estimation,5
Handwriting Verification,5
Gaussian Processes,5
Network Embedding,5
Real-Time Strategy Games,5
Color Constancy,5
Feature Engineering,5
Time Series Clustering,5
Causal Discovery,5
Physics-informed machine learning,5
SSTOD,5
Natural Questions,5
College Mathematics,5
Elementary Mathematics,5
Uncertainty Quantification,5
Intelligent Communication,5
Occlusion Handling,5
PDE Surrogate Modeling,5
AI and Safety,5
POS,4
One-Shot Learning,4
Fill Mask,4
Dense Pixel Correspondence Estimation,4
Interpretable Machine Learning,4
Long-tail learning with class descriptors,4
FG-1-PG-1,4
Partial Label Learning,4
Open-World Semi-Supervised Learning,4
Learning with coarse labels,4
Graph-to-Sequence,4
SSIM,4
Compressive Sensing,4
Matrix Completion,4
Room Layout Estimation,4
Cloze (multi-choices) (One-Shot),4
Disparity Estimation,4
STS,4
Meter Reading,4
Decision Making Under Uncertainty,4
Survival Analysis,4
Remaining Useful Lifetime Estimation,4
Long-range modeling,4
Astronomy,4
Memorization,4
Columns Property Annotation,4
Persuasion Strategies,4
Human Behavior Forecasting,4
Temporal Sequences,4
Pansharpening,4
Model Poisoning,3
