Parent Task,Child Tasks Count,Child Tasks,Task Depth,Categories
Object Detection,39,3D Object Detection; Real-Time Object Detection; RGB Salient Object Detection; Few-Shot Object Detection; Open Vocabulary Object Detection; Object Detection In Aerial Images; Video Object Detection; RGB-D Salient Object Detection; Small Object Detection; Weakly Supervised Object Detection...,2,Computer Vision
3D,38,Object Detection; Pose Estimation; Depth Estimation; 3D Reconstruction; Neural Rendering; Text to 3D; 3D Face Reconstruction; 3D Scene Reconstruction; 3D Shape Reconstruction; Video Inpainting...,6,Methodology; Time Series; Music; Miscellaneous; Playing Games; Knowledge Base; Computer Vision
Video,34,Video Generation; Video Understanding; Temporal Action Localization; Video Object Segmentation; Video Retrieval; Action Classification; Video Prediction; Video Classification; Video Recognition; Video Super-Resolution...,5,Computer Vision
Image Classification,33,Out of Distribution (OOD) Detection; Few-Shot Image Classification; Fine-Grained Image Classification; Learning with noisy labels; Hyperspectral Image Classification; Semi-Supervised Image Classification; Self-Supervised Image Classification; Multi-Label Image Classification; Small Data Image Classification; Genre classification...,4,Adversarial; Computer Vision
Medical Image Segmentation,31,Lesion Segmentation; Brain Tumor Segmentation; Cell Segmentation; Semi-supervised Medical Image Segmentation; Skin Lesion Segmentation; MRI segmentation; Brain Segmentation; Retinal Vessel Segmentation; Cardiac Segmentation; 3D Medical Imaging Segmentation...,2,Medical; Computer Vision
Semantic Segmentation,29,Tumor Segmentation; Panoptic Segmentation; 3D Semantic Segmentation; Weakly-Supervised Semantic Segmentation; Scene Segmentation; Semi-Supervised Semantic Segmentation; Real-Time Semantic Segmentation; 3D Part Segmentation; Unsupervised Semantic Segmentation; Road Segmentation...,2,Medical; Robots; Computer Code; Computer Vision
Anomaly Detection,28,Unsupervised Anomaly Detection; One-Class Classification; Supervised Anomaly Detection; Graph Anomaly Detection; Anomaly Detection In Surveillance Videos; Image Manipulation Detection; Anomaly Classification; Multi-class Anomaly Detection; 3D Anomaly Detection; Weakly-supervised Anomaly Detection...,3,Methodology; Graphs; Miscellaneous; Computer Vision
2D Classification,27,Object Detection; Articles; Style Transfer; Deblurring; Backdoor Attack; Neural Rendering; Voice Conversion; Neural Network Compression; Music Source Separation; Cell Detection...,3,Methodology; Audio; Graphs; Computer Code; Music; Adversarial; Playing Games; Medical; Computer Vision
Facial Recognition and Modelling,26,Face Recognition; Face Swapping; Facial Expression Recognition (FER); Face Detection; Face Generation; Face Verification; Face Alignment; Age Estimation; Face Reconstruction; Face Anti-Spoofing...,3,Music; Miscellaneous; Computer Vision
Text Generation,25,Dialogue Generation; Multi-Document Summarization; Data-to-Text Generation; Story Generation; Text Style Transfer; Paraphrase Generation; Spelling Correction; Table-to-Text Generation; Headline Generation; Conditional Text Generation...,3,Adversarial; Speech; Natural Language Processing; Computer Code
Classification,24,Text Classification; Graph Classification; Multi-class Classification; Audio Classification; Medical Image Classification; Plant Phenotyping; Classifier calibration; Morphology classification; Multi-modal Classification; IoT Device Identification...,3,Methodology; Audio; Graphs; Computer Code; Time Series; Reasoning; Natural Language Processing; Adversarial; Miscellaneous; Medical; Computer Vision
,24,Text-to-Image Generation; Deblurring; Conformal Prediction; Image Deblurring; Face Detection; Text Simplification; Self-Supervised Image Classification; Cloud Computing; Music Source Separation; Decision Making Under Uncertainty...,5,Methodology; Audio; Computer Code; Reasoning; Speech; Music; Natural Language Processing; Adversarial; Miscellaneous; Medical; Computer Vision
Image Generation,23,Image-to-Image Translation; Text-to-Image Generation; Image Inpainting; Image Manipulation; Conditional Image Generation; Face Generation; 3D Generation; Pose Transfer; Image Harmonization; 3D-Aware Image Synthesis...,3,Medical; Natural Language Processing; Miscellaneous; Computer Vision
Logical Reasoning,22,Navigate; Temporal Sequences; Novel Concepts; StrategyQA; Physical Intuition; Date Understanding; Epistemic Reasoning; Logic Grid Puzzle; Logical Fallacy Detection; Logical Sequence...,2,Methodology; Miscellaneous; Reasoning
Dialogue,21,Dialogue Generation; Dialogue State Tracking; Task-Oriented Dialogue Systems; Visual Dialog; Dialogue Understanding; Empathetic Response Generation; Dialogue Management; Goal-Oriented Dialog; Dialogue Act Classification; Goal-Oriented Dialogue Systems...,3,Speech; Natural Language Processing
10-shot image generation,21,Semantic Segmentation; Decoder; Object; Image Restoration; Text-to-Image Generation; Deblurring; Text to Speech; Face Swapping; Motion Estimation; Image Deblurring...,3,Audio; Graphs; Computer Code; Time Series; Music; Adversarial; Robots; Miscellaneous; Playing Games; Knowledge Base; Medical; Computer Vision
Reading Comprehension,20,Machine Reading Comprehension; Intent Recognition; Implicit Relations; Question Selection; LAMBADA; Multi-Hop Reading Comprehension; Implicatures; Belebele; Logical Reasoning Reading Comprehension; Formal Fallacies Syllogisms Negation...,2,Natural Language Processing
Question Answering,19,Open-Domain Question Answering; Open-Ended Question Answering; Zero-Shot Video Question Answer; Knowledge Base Question Answering; Conversational Question Answering; Answer Selection; Community Question Answering; Multiple Choice Question Answering (MCQA); Long Form Question Answering; Science Question Answering...,2,Natural Language Processing; Miscellaneous; Reasoning
Common Sense Reasoning,17,HellaSwag; Winogrande; Physical Commonsense Reasoning; Riddle Sense; Causal Judgment; Winowhy; Anachronisms; Disambiguation QA; Discourse Marker Prediction; Empirical Judgments...,1,Natural Language Processing; Reasoning
Medical Image Analysis,17,Deformable Medical Image Registration; Medical Image Retrieval; Nuclei Classification; Organ Detection; Multi-Focus Microscopical Images Fusion; Whole Mammogram Classification; Mass Segmentation From Mammograms; Breast Mass Segmentation In Whole Mammograms; Cervical Nucleus Detection; Automated Pulmonary Nodule Detection And Classification...,2,Medical
